# -*- coding: utf-8 -*-;;;;;;;;;;;;;
ID;Data de Emissão;Número NF;Empresa;Cliente;Produto/Serviço;Valor;Recebido;Forma de Pagamento;Data de Recebimento;Verba;Responsável pela Entrega;Data de Entrega;Quem Recebeu
13;30/01/2024;481;Armazém;Marcílio Dias;MANUTENÇÃO - PAPELARIA - VENDAS 843 - 878 - 909;R$ 2.407,19;1;Transferência;10/05/2024;Manutenção;;;
14;30/01/2024;482;Armazém;Marcílio Dias;MANUTENÇÃO - LIMPEZA - VENDAS 844 - 877 - 908;R$ 498,83;1;Transferência;08/05/2024;Manutenção;;;
15;31/01/2024;2024 02;JL;CIEP 134;SERVIÇO - REFORMA DE SOFÁS - OS 111;R$ 1.970,00;1;Transferência;30/04/2024;Serviço;;;
16;01/02/2024;2024 04;JL;CIEP 216;DESPESAS MANUTENÇÃO / DÉBITOS EMERGENCIAL - OS 128;R$ 1.685,00;0;;;Despesas;;;
17;02/02/2024;492;Armazém;Bernardino;MERENDA 05/02 À 08/02 - OS 149;R$ 1.250,00;1;Transferência;27/02/2024;Despesas;;;
18;02/02/2024;493;Armazém;CIEP 324;MANUTENÇÃO IMPRESSORA - VENDA 979;R$ 1.538,60;1;Cartão de débito;09/02/2024;Manutenção;;;
19;02/02/2024;496;Armazém;Justiniano;MERENDA 05.02 À 09.02 - VENDAS 866-910-912-914;R$ 1.117,00;1;Cheque;19/02/2024;Merenda;;;
20;02/02/2024;497;Armazém;CIEP 390;MERENDA 05.02 À 09.02 - VENDAS 885 - 918;R$ 4.025,00;1;Transferência;27/02/2024;Merenda;;;
21;02/02/2024;498;Armazém;CIEP 324;MANUTENÇÃO DIVERSOS - VENDA 980;R$ 2.673,70;1;Cartão de débito;19/02/2024;Manutenção;;;
22;02/02/2024;499;Armazém;CIEP 324;MANUTENÇÃO DIVERSOS - VENDA 980;R$ 2.487,45;1;Cartão de débito;19/02/2024;Manutenção;;;
23;02/02/2024;503;Armazém;Eng. Pedreira;MERENDA 05.02 À 09.02 - VENDAS 849-891-922-952;R$ 3.783,00;1;Transferência;06/03/2024;Merenda;;;
24;02/02/2024;504;Armazém;Eng. Pedreira;MERENDA 05.02 À 09.02 - VENDAS 849-891-922-952;R$ 3.606,95;1;Transferência;06/03/2024;Merenda;;;
25;02/02/2024;505;Armazém;CIEP 377;MERENDA 05.02 À 08.02 - VENDAS 886 -940;R$ 3.119,90;1;Transferência;14/03/2024;Merenda;;;
26;02/02/2024;506;Armazém;João Paulo;MERENDA 05.02 À 08.02 - VENDAS 916 - 924;R$ 4.815,05;1;Transferência;20/03/2024;Merenda;;;
27;02/02/2024;507;Armazém;João Paulo;MERENDA 05.02 À 08.02 - VENDAS 916 - 924;R$ 4.785,70;1;Transferência;20/03/2024;Merenda;;;
28;02/02/2024;509;Armazém;CIEP 134;MERENDA 05/02 A 09/02 - VENDAS  838-848-860-875-876-895-897-946-962-966-977-988;R$ 6.372,65;1;Transferência;03/05/2024;Merenda;;;
29;02/02/2024;510;Armazém;CIEP 134;MERENDA 05/02 A 09/02 - VENDAS  838-848-860-875-876-895-897-946-962-966-977-988;R$ 5.659,04;1;Transferência;03/05/2024;Merenda;;;
30;02/02/2024;511;Armazém;São Jorge;MERENDA 05/02 A 09/02 - VENDAS  863 - 929 -950;R$ 3.984,95;1;Cheque;21/02/2024;Merenda;;;
31;02/02/2024;512;Armazém;São Jorge;MERENDA 05/02 A 09/02 - VENDAS  863 - 929 -950;R$ 3.959,71;1;Cheque;21/02/2024;Merenda;;;
32;02/02/2024;513;Armazém;CIEP 113;MERENDA 05/02 A 09/02 - VENDAS  935 - 937 - 957;R$ 2.890,69;1;Cheque;04/03/2024;Merenda;;;
33;02/02/2024;514;Armazém;CIEP 196;MERENDA 05/02 A 09/02 - VENDAS  888 - 933 - 955;R$ 3.521,54;1;Transferência;27/02/2024;Merenda;;;
34;02/02/2024;7603;ADM;CIEP 166;MERENDA 05.02 À 09.02 - VENDAS 879-919-920;R$ 2.256,20;1;Cheque;08/02/2024;Merenda;;;
35;02/02/2024;7604;ADM;CIEP 166;MERENDA 05.02 À 09.02 - VENDAS 879-919-920;R$ 2.061,70;1;Cheque;08/02/2024;Merenda;;;
36;02/02/2024;7605;ADM;Leopoldo;MERENDA 05.02 À 09.02 - VENDAS 865-921-923;R$ 3.629,46;1;Transferência;08/02/2024;Merenda;;;
37;02/02/2024;7606;ADM;CIEP 166;MANUTENÇÃO / PAPELARIA - VENDA 943;R$ 1.236,45;1;Transferência;28/02/2024;Manutenção;;;
38;02/02/2024;7607;ADM;Profº Amazor;MERENDA 05/02 À 09/02 - VENDAS 856 - 934 -960;R$ 2.243,10;1;Cheque;26/02/2024;Merenda;;;
39;02/02/2024;7608;ADM;Marcílio Dias;MERENDA 05/02 À 09/02 - VENDAS 850 - 907 - 961;R$ 3.669,25;1;Transferência;05/04/2024;Merenda;;;
40;02/02/2024;7610;ADM;CIEP 075;MERENDA 05/02 À 09/02 - VENDAS 857 - 944 - 986;R$ 2.152,39;1;Transferência;01/03/2024;Merenda;;;
41;02/02/2024;7611;ADM;CIEP 075;MERENDA 05/02 À 09/02 - VENDAS 857 - 944 - 986;R$ 3.562,20;1;Transferência;01/03/2024;Merenda;;;
42;02/02/2024;7612;ADM;Herminia;MERENDA PROTEINA FEVEREIRO - VENDA 909;R$ 2.857,20;1;Transferência;05/03/2024;Merenda;;;
43;02/02/2024;7613;ADM;Herminia;MERENDA FEVEREIRO - VENDA 909;R$ 980,25;1;Cheque;05/03/2024;Merenda;;;
44;02/02/2024;7616;ADM;CIEP 216;MERENDA 05/02 À 09/02 - VENDA 1048;R$ 2.466,36;1;Transferência;28/02/2024;Merenda;;;
45;02/02/2024;7617;ADM;CIEP 216;MERENDA 05/02 À 09/02 - VENDA 1048;R$ 1.861,98;1;Transferência;28/02/2024;Merenda;;;
46;02/02/2024;7618;ADM;Sargento;MERENDA FRIA 05/02 À 08/02;R$ 6.244,56;1;Transferência;04/03/2024;Merenda;;;
47;05/02/2024;515;Armazém;Caetano;MERENDA 05.02 À 08.02 - VENDAS 864 - 869 - 948;R$ 1.056,51;1;Transferência;29/02/2024;Merenda;;;
48;05/02/2024;516;Armazém;CIEP 377;MANUTENÇÃO / LIMPEZA - VENDAS 939 - 995;R$ 575,35;1;Transferência;01/03/2024;Manutenção;;;
49;05/02/2024;517;Armazém;CIEP 075;MANUTENÇÃO / PAPELARIA - VENDA 905;R$ 4.691,40;1;Transferência;01/03/2024;Manutenção;;;
50;05/02/2024;518;Armazém;CIEP 075;MANUTENÇÃO / PAPELARIA - VENDA 905;R$ 3.299,40;1;Transferência;01/03/2024;Manutenção;;;
51;05/02/2024;519;Armazém;CIEP 075;MANUTENÇÃO / LIMPEZA - VENDA 901;R$ 1.248,80;1;Transferência;01/03/2024;Manutenção;;;
52;05/02/2024;520;Armazém;CIEP 216;MANUTENÇÃO / LIMPEZA - VENDAS 514 - 941;R$ 802,40;1;Transferência;28/02/2024;Manutenção;;;
53;05/02/2024;521;Armazém;CIEP 216;MANUTENÇÃO / PAPELARIA - VENDA 963;R$ 327,00;1;Transferência;28/02/2024;Manutenção;;;
54;05/02/2024;523;Armazém;São Jorge;MANUTENÇÃO / LIMPEZA - VENDAS 930 - 949;R$ 2.079,05;1;Transferência;25/03/2024;Manutenção;;;
55;05/02/2024;524;Armazém;CIEP 134;MANUTENÇÃO / DIVERSOS - VENDAS 840-873-898-932-947-958-968-972-981-982-1022;R$ 3.432,55;1;Transferência;30/04/2024;Manutenção;;;
56;05/02/2024;525;Armazém;CIEP 134;MANUTENÇÃO / DIVERSOS - VENDAS 840-873-898-932-947-958-968-972-981-982-1022;R$ 3.319,85;1;Transferência;30/04/2024;Manutenção;;;
57;05/02/2024;526;Armazém;CIEP 324;MANUTENÇÃO / LIMPEZA - VENDAS 861 - 994;R$ 1.816,35;1;Transferência;05/04/2024;Manutenção;;;
58;05/02/2024;527;Armazém;CIEP 113;MANUTENÇÃO / LIMPEZA - VENDAS 959;R$ 365,30;1;Cheque;10/04/2024;Manutenção;;;
59;05/02/2024;528;Armazém;Caetano;MANUTENÇÃO PDDE PIIF - CUSTEIO 2022-2023;R$ 5.910,39;1;Cheque;21/02/2024;Manutenção;;;
60;05/02/2024;530;Armazém;Caetano;MANUTENÇÃO PDDE PIIF - CAPITAL 2022-2023;R$ 4.920,00;1;Cheque;21/02/2024;Manutenção;;;
61;05/02/2024;531;Armazém;Caetano;MANUTENÇÃO PDDE PIIF - CAPITAL 2022-2023;R$ 4.735,37;1;Cheque;21/02/2024;Manutenção;;;
62;05/02/2024;532;Armazém;Caetano;MANUTENÇÃO PDDE PIIF - CUSTEIO 2022-2023;R$ 2.166,65;1;Cheque;23/02/2024;Manutenção;;;
63;05/02/2024;533;Armazém;Caetano;MANUTENÇÃO PDDE PIIF - CAPITAL 2022-2023;R$ 5.670,00;1;Cheque;21/02/2024;Manutenção;;;
64;05/02/2024;538;Armazém;CIEP 354;MANUTENÇÃO PDDE CAIXA DE SOM;R$ 1.299,00;1;Cartão de débito;21/02/2024;Manutenção;;;
65;05/02/2024;539;Armazém;CIEP 354;MERENDA 05/02 À 16/02;R$ 10.787,24;1;Transferência;27/02/2024;Despesas;;;
66;05/02/2024;7620;ADM;CIEP 324;MERENDA 05/02 À 08/02;R$ 7.527,79;1;Transferência;05/04/2024;Merenda;;;
67;08/02/2024;2024 05;JL;CIEP 324;REFORMA DA QUADRA DE ESPORTES - OS 138;R$ 5.000,00;1;Cartão de débito;09/02/2024;Serviço;;;
68;08/02/2024;2024 06;JL;CIEP 324;REFORMA DA QUADRA DE ESPORTES - OS 138;R$ 10.000,00;1;Cartão de débito;09/02/2024;Serviço;;;
69;15/02/2024;7;MF;Bernardino;SERVIÇO DE REVISÃO ELETRICA E HID. - SUBSTITUINDO NF 4932 - ABATIMENTO DEBITOS 2022;R$ 2.976,69;1;Transferência;04/03/2024;Serviço;;;
70;15/02/2024;551;Armazém;São Jorge;MERENDA 15/02 À 16/02 - SEM VENDA ;R$ 2.751,92;1;Transferência;11/03/2024;Merenda;;;
71;15/02/2024;552;Armazém;CIEP 196; MANUTENÇÃO LIMPEZA - VENDA 1067;R$ 2.096,40;1;Transferência;27/02/2024;Manutenção;;;
72;15/02/2024;553;Armazém;João Paulo;MERENDA 15/02 À 16/02 - VENDAS 870 - 984;R$ 1.069,14;1;Transferência;20/03/2024;Merenda;;;
73;15/02/2024;554;Armazém;Eng. Pedreira;MERENDA 15/02 À 16/02 - VENDAS 985 - 917;R$ 2.538,00;1;Transferência;06/03/2024;Merenda;;;
74;15/02/2024;555;Armazém;Profº Amazor;MERENDA 15/02 À 16/02 - VENDAS 989;R$ 778,61;1;Cheque;26/02/2024;Merenda;;;
75;15/02/2024;556;Armazém;Bernardino;MERENDA 15/02 À 16/02 - SUBSTITUINDO NF 299 ;R$ 762,40;1;Transferência;27/02/2024;Merenda;;;
76;15/02/2024;560;Armazém;Marcílio Dias;MERENDA 15/02 À 16/02 - VENDA 992;R$ 328,77;1;Transferência;17/07/2024;Merenda;;;
77;15/02/2024;7624;ADM;CIEP 166;MERENDA 15/02 À 16/02 - VENDA 1000;R$ 2.567,20;1;Transferência;26/02/2024;Merenda;;;
78;15/02/2024;7625;ADM;CIEP 134;MERENDA 15/02 À 16/02 - VENDAS 991-1004;R$ 2.609,20;1;Transferência;03/05/2024;Merenda;;;
79;15/02/2024;7626;ADM;CIEP 196;MERENDA 15/02 À 16/02 - VENDA 999;R$ 1.584,30;1;Transferência;27/02/2024;Merenda;;;
80;15/02/2024;7628;ADM;CIEP 216;MERENDA 15/02 À 16/02 - VENDAS 871-1048;R$ 1.542,92;1;Transferência;28/02/2024;Merenda;;;
81;15/02/2024;7630;ADM;Sargento;MERENDA FRIA 15/02 À 16/02;R$ 4.074,78;1;Transferência;04/03/2024;Merenda;;;
82;15/02/2024;7631;ADM;CIEP 377;MERENDA 15/02 À 16/02 - VENDA 993;R$ 3.710,30;1;Transferência;01/03/2024;Merenda;;;
83;16/02/2024;7601;ADM;CIEP 075;MERENDA COMPLEMENTO SUBSTITUINDO NF 395 - ABATIMENTO DE DEBITOS 2023;R$ 3.725,90;1;Cheque;07/03/2024;Merenda;;;
84;16/02/2024;7602;ADM;CIEP 075;MERENDA COMPLEMENTO SUBSTITUINDO NF 426 - ABATIMENTO DE DEBITOS 2023;R$ 2.042,18;1;Cheque;07/03/2024;Merenda;;;
85;16/02/2024;563;Armazém;Sargento;MERENDA FRIA 19/02 À 23/02 ;R$ 3.686,25;1;Cheque;04/03/2024;Merenda;;;
86;16/02/2024;564;Armazém;Sargento;MERENDA FRIA 19/02 À 23/02 ;R$ 4.039,35;1;Transferência;04/03/2024;Merenda;;;
87;16/02/2024;7619;ADM;Leopoldo;MERENDA 19/02 A 23/02 - VENDA 1008;R$ 1.796,92;1;Cheque;21/02/2024;Merenda;;;
88;19/02/2024;7632;ADM;CIEP 377;MERENDA 19/02 À 23/02 - VENDA 1011;R$ 500,94;1;Transferência;01/03/2024;Merenda;;;
89;19/02/2024;7635;ADM;CIEP 166;MERENDA 19/02 A 23/02 - VENDA 1015;R$ 3.266,30;1;Transferência;26/02/2024;Merenda;;;
90;19/02/2024;7636;ADM;Bernardino;MERENDA 19/02 A 23/02 - VENDAS 927-855-564-1009;R$ 2.572,23;1;Transferência;27/02/2024;Merenda;;;
91;19/02/2024;7637;ADM;Bernardino;MERENDA 19/02 A 23/02 - VENDA 927 - OS 148;R$ 1.033,87;1;Transferência;27/02/2024;Merenda;;;
92;19/02/2024;7639;ADM;CIEP 354;MERENDA 19/02 À 23/02 ;R$ 3.090,85;1;Cheque;27/02/2024;Despesas;;;
93;19/02/2024;7640;ADM;CIEP 196;MERENDA 19/02 À 23/02 - VENDA 1021;R$ 2.619,13;1;Transferência;27/02/2024;Merenda;;;
94;19/02/2024;7641;ADM;CIEP 196;MERENDA 19/02 À 23/02 - VENDA 1021;R$ 1.576,27;1;Transferência;27/02/2024;Merenda;;;
95;19/02/2024;7642;ADM;Justiniano;MERENDA 19/02 À 23/02 - VENDA 997;R$ 3.525,39;1;Transferência;05/03/2024;Merenda;;;
96;19/02/2024;7643;ADM;CIEP 075;MERENDA 19/02 À 23/02 - VENDA 1007;R$ 3.992,47;1;Transferência;01/03/2024;Merenda;;;
97;19/02/2024;7644;ADM;CIEP 075;MERENDA 19/02 À 23/02 - VENDA 1007;R$ 3.781,63;1;Transferência;01/03/2024;Merenda;;;
98;19/02/2024;7645;ADM;CIEP 216;MERENDA 19/02 À 23/02 - VENDA 595;R$ 3.387,99;1;Transferência;28/02/2024;Merenda;;;
99;19/02/2024;7646;ADM;CIEP 216;MERENDA 19/02 À 23/02 - VENDA 595;R$ 2.821,55;1;Transferência;28/02/2024;Merenda;;;
100;19/02/2024;7659;ADM;Eng. Pedreira;MERENDA 19/02 À 23/02 - VENDA 1003;R$ 3.409,14;1;Cheque;06/03/2024;Merenda;;;
101;19/02/2024;7660;ADM;Eng. Pedreira;MERENDA 19/02 À 23/02 - VENDA 1003;R$ 2.302,31;1;Cheque;06/03/2024;Merenda;;;
102;19/02/2024;7661;ADM;CIEP 216;MERENDA 19/02 À 23/02 - VENDA 1005;R$ 3.867,24;1;Cheque;07/03/2024;Merenda;;;
103;19/02/2024;7662;ADM;CIEP 216;MERENDA 19/02 À 23/02 - VENDA 1005;R$ 1.942,51;1;Cheque;07/03/2024;Merenda;;;
104;19/02/2024;7663;ADM;São Jorge;MERENDA 19/02 À 23/02 - VENDA 1013;R$ 2.490,00;1;Transferência;11/03/2024;Merenda;;;
105;19/02/2024;7664;ADM;CIEP 134;MERENDA 19/02 À 23/02 - VENDAS 1014-1029-1037;R$ 3.803,10;1;Transferência;03/05/2024;Merenda;;;
106;19/02/2024;7667;ADM;CIEP 354;COMPLEMENTO MERENDA 19.02 À 23.02;R$ 10.997,02;1;Cheque;11/03/2024;Despesas;;;
107;19/02/2024;568;Armazém;Profº Amazor;MERENDA 19/02 A 23/02 - VENDAS 1006 - 1019 - 1024;R$ 3.542,15;1;Cheque;26/02/2024;Merenda;;;
108;19/02/2024;571;Armazém;Caetano;MERENDA 19/02 À 23/02 - VENDAS 1001 - 1031;R$ 947,80;1;Transferência;05/03/2024;Merenda;;;
109;19/02/2024;572;Armazém;CIEP 324;MERENDA 19/02 À 23/02;R$ 10.074,98;1;Transferência;06/03/2024;Merenda;;;
110;19/02/2024;573;Armazém;Marcílio Dias;MERENDA 19/02 À 23/02 - VENDA 1016;R$ 2.791,90;1;Transferência;08/05/2024;Merenda;;;
111;19/02/2024;574;Armazém;João Paulo;MERENDA 19/02 À 23/02 - VENDA 1002;R$ 3.826,20;1;Transferência;20/03/2024;Merenda;;;
112;19/02/2024;575;Armazém;João Paulo;MERENDA 19/02 À 23/02 - VENDA 1002;R$ 2.327,80;1;Transferência;20/03/2024;Merenda;;;
113;21/02/2024;8;MF;Caetano;SERVIÇO DE IMPRESSÃO PDDE PIIF 2022/2023;R$ 3.000,00;1;Cheque;23/02/2024;Serviço;;;
114;21/02/2024;2024 07;JL;CIEP 354;MANUTENÇÃO SERVIÇO PDDE;R$ 8.046,00;1;Cartão de débito;21/02/2024;Serviço;;;
115;21/02/2024;2024 08;JL;CIEP 354;SERVIÇO CAPINA;R$ 1.720,00;1;Transferência;01/04/2024;Serviço;;;
116;23/02/2024;576;Armazém;CIEP 216;MERENDA 05/02 À 09/02 - VENDA 942;R$ 3.754,27;1;Transferência;10/04/2024;Merenda;;;
117;23/02/2024;577;Armazém;CIEP 216;MERENDA 05/02 À 09/02 - VENDA 942;R$ 2.993,60;1;Cheque;21/03/2024;Merenda;;;
118;23/02/2024;579;Armazém;CIEP 075;MERENDA 26/02 À 01/03 - VENDA 1052;R$ 4.735,44;1;Transferência;01/03/2024;Merenda;;;
119;23/02/2024;580;Armazém;CIEP 075;MERENDA 26/02 À 01/03 - VENDA 1052;R$ 4.678,16;1;Cheque;01/03/2024;Merenda;;;
120;23/02/2024;581;Armazém;São Jorge;MERENDA 26/02 À 01/03 - VENDA 1055;R$ 2.474,14;1;Transferência;11/03/2024;Merenda;;;
121;23/02/2024;582;Armazém;São Jorge;MERENDA 26/02 À 01/03 - VENDA 1055;R$ 1.947,06;1;Transferência;11/03/2024;Merenda;;;
122;23/02/2024;583;Armazém;CIEP 134;MERENDA 26/02 À 01/03 - VENDAS 1056-1066;R$ 13.681,00;1;Transferência;03/05/2024;Merenda;;;
123;23/02/2024;584;Armazém;CIEP 196;MERENDA 26/02 À 01/03 - VENDA 1057;R$ 2.233,73;1;Cheque;18/03/2024;Merenda;;;
124;23/02/2024;585;Armazém;CIEP 196;MERENDA 26/02 À 01/03 - VENDA 1057;R$ 3.103,77;1;Transferência;05/03/2024;Merenda;;;
125;23/02/2024;586;Armazém;CIEP 377;MERENDA 26/02 À 01/03 - VENDA 1059;R$ 3.462,17;1;Transferência;14/03/2024;Merenda;;;
126;23/02/2024;587;Armazém;CIEP 377;MERENDA 26/02 À 01/03 - VENDA 1059;R$ 1.611,43;1;Transferência;14/03/2024;Merenda;;;
127;23/02/2024;591;Armazém;CIEP 390;MERENDA 26/02 À 01/03 - VENDA 1071;R$ 3.813,35;1;Transferência;18/04/2024;Merenda;;;
128;23/02/2024;7665;ADM;Sargento;MERENDA 26/02 À 01/03 - VENDAS 1046-1079;R$ 3.985,80;1;Cheque;06/03/2024;Merenda;;;
129;23/02/2024;7666;ADM;Sargento;MERENDA 26/02 À 01/03 - VENDAS 1046-1079;R$ 3.744,00;1;Cheque;18/03/2024;Merenda;;;
130;26/02/2024;7647;ADM;Profº Amazor;MERENDA 26/02 À 01/03 - VENDA 1049;R$ 2.972,14;1;Cheque;26/03/2024;Merenda;;;
131;26/02/2024;7648;ADM;Profº Amazor;MERENDA 26/02 À 01/03 - VENDA 1049;R$ 1.072,94;1;Cheque;26/02/2024;Merenda;;;
132;26/02/2024;7649;ADM;CIEP 166;MERENDA 26/02 À 01/03 - VENDA 1058;R$ 3.293,76;1;Transferência;26/02/2024;Merenda;;;
133;26/02/2024;7650;ADM;CIEP 166;MERENDA 26/02 À 01/03 - VENDA 1058;R$ 3.262,29;1;Transferência;26/02/2024;Merenda;;;
134;26/02/2024;7652;ADM;Bernardino;MERENDA 26/02 À 01/03 - SUBSTITUINDO NF 7178 - DEBITOS 2023;R$ 1.778,11;1;Transferência;27/02/2024;Merenda;;;
135;26/02/2024;7653;ADM;Bernardino;MERENDA 26/02 À 01/03 - VENDA 1064;R$ 1.337,14;1;Transferência;18/03/2024;Merenda;;;
136;26/02/2024;7654;ADM;Leopoldo;MERENDA 26/02 À 01/03 - VENDAS 1054 - 1073 - 1080;R$ 2.999,32;1;Transferência;29/02/2024;Merenda;;;
137;26/02/2024;7658;ADM;Caetano;MERENDA 26/02 À 01/03 - VENDA 1076;R$ 901,50;1;Transferência;05/03/2024;Merenda;;;
138;26/02/2024;7671;ADM;Eng. Pedreira;MERENDA 26/02 À 01/03 - VENDA 1051;R$ 3.692,82;1;Transferência;06/03/2024;Merenda;;;
139;26/02/2024;7672;ADM;Eng. Pedreira;MERENDA 26/02 À 01/03 - VENDA 1051;R$ 1.911,88;1;Transferência;14/03/2024;Merenda;;;
140;26/02/2024;7673;ADM;Eng. Pedreira;MANUTENÇÃO LIMPEZA - ABATIMENTO DE DEBITOS 2023;R$ 3.562,00;1;Transferência;06/03/2024;Manutenção;;;
141;26/02/2024;7674;ADM;Marcílio Dias;MERENDA 26/02 À 01/03 - VENDA 1061;R$ 3.387,40;1;Transferência;08/05/2024;Merenda;;;
142;26/02/2024;7675;ADM;João Paulo;MERENDA 26/02 À 01/03 - VENDA 1047;R$ 3.995,93;1;Transferência;20/03/2024;Merenda;;;
143;26/02/2024;7676;ADM;João Paulo;MERENDA 26/02 À 01/03 - VENDA 1047;R$ 3.982,47;1;Transferência;20/03/2024;Merenda;;;
144;26/02/2024;7677;ADM;Justiniano;MERENDA 26/02 À 01/03 - VENDA 1050;R$ 2.491,31;1;Transferência;05/03/2024;Merenda;;;
145;26/02/2024;7678;ADM;Justiniano;MERENDA 26/02 À 01/03 - VENDA 1050;R$ 1.520,34;1;Transferência;05/03/2024;Merenda;;;
146;26/02/2024;7679;ADM;CIEP 324;MERENDA 26/02 À 01/03;R$ 7.423,97;1;Cheque;11/04/2024;Merenda;;;
147;26/02/2024;542;Armazém;CIEP 354;MERENDA 26/02 À 01/03;R$ 8.314,60;1;Transferência;01/04/2024;Despesas;;;
148;29/02/2024;10;MF;Marechal Juarez;SERVIÇO CAPINA DA ESCOLA GERAL E PODA DE ÁRVORES - OS 125;R$ 2.200,00;1;Transferência;29/02/2024;Serviço;;;
149;29/02/2024;11;MF;Ana Neri;SERVIÇO MANUTENÇÃO / REPARO DE GELADEIRA - OS 108;R$ 1.250,00;1;Transferência;08/03/2024;Serviço;;;
150;29/02/2024;12;MF;CIEP 216;SERVIÇO MANUTENÇÃO BOMBA - VENDAS  1034 -1041;R$ 1.900,00;0;;;Serviço;;;
151;29/02/2024;2024 10;JL;Marechal Juarez;SERVIÇO INSTALAÇÃO DE REFLETORES - OS 4-9;R$ 2.130,00;1;Transferência;29/02/2024;Serviço;;;
152;29/02/2024;2024 11;JL;Marechal Juarez;DESPESAS CONTADOR ANUAL 2024 - OS 150;R$ 6.030,00;1;Transferência;29/02/2024;Despesas;;;
